組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
AACDSC,1-5-2,9,0.281,1-2-5,3,0.094,2-5-1,2,0.062,32
AACDSD,1-5-2,6,0.143,2-1-5,5,0.119,1-2-5,5,0.119,42
AACSBD,1-4-2,6,0.167,1-4-3,4,0.111,4-1-5,3,0.083,36
AACSCC,1-2-4,3,0.214,1-4-2,3,0.214,4-1-5,2,0.143,14
AACSCD,1-4-2,16,0.126,1-2-4,12,0.094,1-2-3,11,0.087,127
AACSDB,1-4-2,5,0.278,4-2-1,3,0.167,2-1-4,3,0.167,18
AACSDC,1-4-2,11,0.2,1-4-3,6,0.109,1-2-4,6,0.109,55
AACSDD,1-2-4,13,0.155,1-4-2,8,0.095,2-1-4,7,0.083,84
AADAAC,5-4-2,1,0.111,4-6-3,1,0.111,4-1-5,1,0.111,9
AADAAD,1-2-4,12,0.162,1-4-2,8,0.108,1-4-5,6,0.081,74
AADABA,3-1-4,1,0.5,1-4-3,1,0.5,---,0,0.0,2
AADABB,1-2-4,7,0.219,2-4-1,3,0.094,1-4-6,2,0.062,32
AADABC,1-2-4,20,0.143,1-4-2,14,0.1,1-2-3,9,0.064,140
AADABD,1-2-4,22,0.159,1-4-2,13,0.094,1-2-3,12,0.087,138
AADACA,1-3-2,2,0.133,1-2-4,2,0.133,6-5-4,1,0.067,15
AADACB,1-2-4,29,0.19,1-4-2,16,0.105,1-2-3,10,0.065,153
AADACC,1-2-4,22,0.175,1-4-2,18,0.143,1-2-5,9,0.071,126
AADACD,1-2-4,5,0.217,1-4-5,2,0.087,1-4-2,2,0.087,23
AADADA,1-2-4,11,0.141,1-2-3,6,0.077,1-4-2,5,0.064,78
AADADB,1-2-4,21,0.156,1-4-2,18,0.133,1-2-6,7,0.052,135
AADADC,1-2-4,8,0.348,4-1-2,2,0.087,1-3-2,2,0.087,23
AADADD,1-2-4,2,0.667,2-4-1,1,0.333,---,0,0.0,3
AADADS,4-6-2,2,0.2,1-4-2,2,0.2,6-1-4,1,0.1,10
AADASD,1-5-4,1,0.333,1-4-2,1,0.333,1-3-6,1,0.333,3
AADBAB,1-2-5,3,0.125,1-3-4,3,0.125,1-5-4,2,0.083,24
AADBAC,1-2-5,17,0.14,1-2-4,13,0.107,1-4-2,10,0.083,121
AADBAD,1-2-5,18,0.145,1-2-4,12,0.097,1-4-2,11,0.089,124
AADBBA,1-2-6,3,0.115,1-6-2,2,0.077,1-3-2,2,0.077,26
AADBBB,1-2-5,29,0.101,1-2-4,25,0.087,1-2-3,24,0.084,286
AADBBC,1-2-4,27,0.106,1-2-3,23,0.091,1-4-2,17,0.067,254
AADBBD,1-2-5,5,0.122,1-4-2,3,0.073,1-2-4,3,0.073,41
AADBCA,1-2-4,13,0.118,1-2-6,11,0.1,1-4-2,7,0.064,110
AADBCB,1-2-4,42,0.148,1-2-3,30,0.106,1-2-6,29,0.102,283
AADBCC,1-2-4,5,0.167,1-2-6,3,0.1,2-1-4,3,0.1,30
AADBCD,6-2-1,1,1.0,---,0,0.0,---,0,0.0,1
AADBCS,4-2-6,1,0.25,2-1-6,1,0.25,1-6-2,1,0.25,4
AADBDA,1-2-4,12,0.122,1-2-6,8,0.082,1-4-2,6,0.061,98
AADBDB,1-2-4,6,0.176,1-2-3,5,0.147,1-4-2,4,0.118,34
AADBDS,1-6-2,5,0.132,2-1-6,4,0.105,1-2-4,4,0.105,38
AADBSC,1-2-5,2,0.333,1-5-2,1,0.167,1-4-5,1,0.167,6
AADBSD,1-2-5,4,0.103,1-2-3,3,0.077,4-5-1,3,0.077,39
AADCAA,1-5-4,3,0.231,5-2-1,1,0.077,5-1-2,1,0.077,13
AADCAB,1-2-5,14,0.113,1-5-2,10,0.081,1-2-4,9,0.073,124
AADCAC,1-2-5,13,0.14,1-2-3,7,0.075,1-5-2,7,0.075,93
AADCAD,1-5-2,4,0.19,1-2-4,3,0.143,2-1-6,3,0.143,21
AADCBA,1-2-5,13,0.123,1-2-6,8,0.075,1-2-3,7,0.066,106
AADCBB,1-2-5,27,0.126,1-2-4,19,0.088,1-2-3,19,0.088,215
AADCBC,1-2-5,7,0.233,1-2-4,4,0.133,1-2-6,3,0.1,30
AADCBS,1-6-2,2,0.333,6-2-4,1,0.167,6-1-2,1,0.167,6
AADCCA,1-2-6,12,0.098,1-2-4,9,0.074,1-2-5,9,0.074,122
AADCCB,1-2-3,6,0.188,1-4-2,4,0.125,2-1-6,3,0.094,32
AADCCS,2-1-6,5,0.156,1-6-2,3,0.094,1-2-6,3,0.094,32
AADCDA,1-2-3,4,0.19,1-2-4,2,0.095,2-1-5,2,0.095,21
AADCDS,1-2-6,5,0.135,6-1-2,4,0.108,2-1-6,4,0.108,37
AADCSB,5-1-4,1,0.2,5-1-3,1,0.2,1-6-5,1,0.2,5
AADCSC,1-5-4,3,0.107,2-5-6,2,0.071,1-4-2,2,0.071,28
AADCSD,1-5-2,6,0.207,1-2-5,3,0.103,2-3-1,2,0.069,29
AADDAA,1-2-5,9,0.148,1-2-6,7,0.115,5-1-6,5,0.082,61
AADDAB,1-5-2,9,0.114,1-2-5,9,0.114,1-2-6,8,0.101,79
AADDAC,1-2-5,3,0.25,4-5-1,1,0.083,4-3-1,1,0.083,12
AADDAD,1-5-2,1,1.0,---,0,0.0,---,0,0.0,1
AADDAS,1-5-6,2,0.667,1-5-2,1,0.333,---,0,0.0,3
AADDBA,1-2-6,18,0.228,1-5-2,5,0.063,1-2-5,5,0.063,79
AADDBB,1-2-5,5,0.217,1-5-3,2,0.087,1-3-6,2,0.087,23
AADDBS,1-6-2,5,0.227,1-5-2,3,0.136,1-5-6,3,0.136,22
AADDCA,2-4-6,1,0.143,2-1-4,1,0.143,1-6-2,1,0.143,7
AADDCS,1-2-6,6,0.194,6-1-2,4,0.129,1-6-5,3,0.097,31
AADDDA,1-2-3,1,1.0,---,0,0.0,---,0,0.0,1
AADDDS,6-1-2,2,0.2,6-2-1,1,0.1,2-6-4,1,0.1,10
AADDSA,2-5-3,1,0.5,1-5-2,1,0.5,---,0,0.0,2
AADDSB,1-5-2,8,0.286,1-2-5,3,0.107,3-2-5,2,0.071,28
AADDSC,1-2-3,3,0.136,2-1-5,2,0.091,1-2-5,2,0.091,22
AADDSD,1-2-5,4,0.267,1-5-2,4,0.267,1-3-2,2,0.133,15
AADSAD,2-1-4,3,0.273,4-1-5,1,0.091,1-5-2,1,0.091,11
AADSBC,4-1-2,1,0.2,3-1-4,1,0.2,1-4-2,1,0.2,5
AADSBD,1-4-2,8,0.125,1-4-3,6,0.094,4-1-2,5,0.078,64
AADSCB,1-4-2,3,0.5,4-6-2,1,0.167,4-6-1,1,0.167,6
AADSCC,1-2-4,6,0.25,1-4-2,3,0.125,2-4-1,3,0.125,24
AADSCD,1-2-4,9,0.158,1-4-2,9,0.158,2-1-4,6,0.105,57
AADSDA,1-4-6,2,0.286,1-4-2,2,0.286,5-4-1,1,0.143,7
AADSDB,1-2-4,4,0.095,1-4-3,4,0.095,2-4-1,3,0.071,42
AADSDC,1-4-2,8,0.229,1-2-4,5,0.143,2-1-4,4,0.114,35
AADSDD,1-4-2,5,0.25,1-2-4,4,0.2,4-1-2,2,0.1,20
AASACD,3-4-5,1,1.0,---,0,0.0,---,0,0.0,1
AASADD,2-4-5,1,0.143,1-3-4,1,0.143,1-2-3,1,0.143,7
AASBBD,1-3-2,1,1.0,---,0,0.0,---,0,0.0,1
AASBCD,1-3-4,3,0.15,2-1-3,2,0.1,1-3-2,2,0.1,20
AASBDB,2-1-4,1,1.0,---,0,0.0,---,0,0.0,1
AASBDC,1-3-4,2,0.167,1-3-2,2,0.167,1-2-3,2,0.167,12
AASBDD,1-3-2,6,0.097,3-1-2,5,0.081,3-1-4,5,0.081,62
AASCBD,1-2-3,5,0.238,1-3-4,3,0.143,1-3-2,2,0.095,21
AASCCC,1-3-2,4,0.267,2-1-3,2,0.133,1-2-6,2,0.133,15
AASCCD,1-3-2,12,0.174,2-3-1,6,0.087,1-2-3,6,0.087,69
AASCDB,3-1-4,1,0.167,2-3-1,1,0.167,2-1-4,1,0.167,6
AASCDC,1-3-2,8,0.138,1-2-3,6,0.103,1-3-4,4,0.069,58
AASCDD,1-2-3,13,0.255,1-3-2,10,0.196,2-1-3,8,0.157,51
AASDAD,3-2-1,1,0.167,2-1-4,1,0.167,1-6-3,1,0.167,6
AASDBC,1-2-3,2,0.2,5-1-3,1,0.1,3-1-6,1,0.1,10
AASDBD,1-3-5,8,0.163,1-3-2,7,0.143,1-2-3,7,0.143,49
AASDCB,2-3-6,1,0.2,2-1-3,1,0.2,1-6-3,1,0.2,5
AASDCC,1-3-2,8,0.195,2-1-3,3,0.073,1-2-3,3,0.073,41
AASDCD,1-3-2,16,0.296,2-1-3,7,0.13,1-2-3,5,0.093,54
AASDDA,1-3-2,2,0.286,6-2-4,1,0.143,3-2-6,1,0.143,7
AASDDB,1-2-3,7,0.171,1-3-2,5,0.122,1-2-6,4,0.098,41
AASDDC,1-2-3,5,0.125,3-1-2,3,0.075,3-1-6,3,0.075,40
AASDDD,1-3-2,3,0.333,4-1-5,1,0.111,3-2-4,1,0.111,9
ABAABD,1-3-4,16,0.123,1-3-2,12,0.092,1-2-5,9,0.069,130
ABAACB,1-2-3,1,1.0,---,0,0.0,---,0,0.0,1
ABAACC,1-2-3,12,0.148,1-4-3,7,0.086,1-3-4,7,0.086,81
ABAACD,1-3-4,55,0.14,1-2-4,36,0.091,1-2-3,32,0.081,394
ABAADA,1-3-6,1,0.333,1-4-3,1,0.333,4-2-1,1,0.333,3
ABAADB,1-3-4,9,0.122,1-3-2,8,0.108,1-4-6,4,0.054,74
ABAADC,1-2-3,29,0.112,1-3-4,26,0.1,1-3-2,23,0.088,260
ABAADD,1-3-2,30,0.112,1-3-4,25,0.094,1-2-3,24,0.09,267
ABABAD,1-3-2,11,0.104,1-2-3,10,0.094,1-4-5,6,0.057,106
ABABBB,3-1-4,2,0.154,1-3-6,2,0.154,1-3-2,2,0.154,13
ABABBC,1-2-3,26,0.112,1-3-4,24,0.103,1-3-2,21,0.091,232
ABABBD,1-2-3,88,0.097,1-3-2,83,0.091,1-3-4,79,0.087,908
ABABCB,1-2-3,23,0.11,1-3-4,16,0.077,1-3-2,15,0.072,209
ABABCC,1-2-3,111,0.12,1-3-2,84,0.091,1-3-4,74,0.08,926
ABABCD,1-2-3,69,0.118,1-3-4,67,0.115,1-3-2,54,0.093,583
ABABDA,1-3-2,9,0.11,1-3-6,8,0.098,1-2-3,7,0.085,82
ABABDB,1-2-3,63,0.108,1-3-2,49,0.084,1-3-4,49,0.084,583
ABABDC,1-2-3,62,0.137,1-3-2,43,0.095,1-3-4,37,0.082,453
ABABDD,1-2-3,13,0.134,1-3-4,13,0.134,1-3-2,9,0.093,97
ABABSD,1-3-4,1,1.0,---,0,0.0,---,0,0.0,1
ABACAC,1-5-4,5,0.081,1-2-3,5,0.081,1-5-2,5,0.081,62
ABACAD,1-3-5,40,0.117,1-3-2,38,0.111,1-2-3,25,0.073,341
ABACBB,1-2-3,18,0.097,1-3-2,17,0.091,1-2-5,14,0.075,186
ABACBC,1-2-3,111,0.135,1-3-2,78,0.095,1-3-5,60,0.073,825
ABACBD,1-2-3,67,0.125,1-3-2,63,0.118,1-3-4,50,0.093,536
ABACCA,1-3-2,7,0.123,1-3-6,4,0.07,1-2-3,3,0.053,57
ABACCB,1-2-3,91,0.121,1-3-2,89,0.119,1-3-6,36,0.048,749
ABACCC,1-2-3,86,0.141,1-3-2,76,0.124,1-3-4,46,0.075,611
ABACCD,1-3-2,10,0.143,1-2-3,9,0.129,1-3-4,8,0.114,70
ABACDA,1-3-2,30,0.119,1-2-3,24,0.095,1-3-4,17,0.067,252
ABACDB,1-2-3,54,0.146,1-3-2,43,0.117,1-3-4,26,0.07,369
ABACDC,1-3-4,7,0.137,1-2-3,6,0.118,1-2-4,6,0.118,51
ABACDD,1-3-4,1,0.5,1-2-3,1,0.5,---,0,0.0,2
ABACDS,1-2-4,3,0.111,2-1-3,3,0.111,3-1-5,2,0.074,27
ABACSD,1-3-2,3,0.13,1-5-2,2,0.087,5-1-3,2,0.087,23
ABADAB,1-2-3,7,0.14,1-3-5,6,0.12,1-2-5,4,0.08,50
ABADAC,1-3-5,19,0.089,1-2-3,18,0.084,3-1-5,15,0.07,214
ABADAD,1-3-2,20,0.12,1-3-5,15,0.09,1-5-3,14,0.084,166
ABADBA,1-2-3,9,0.153,1-6-5,5,0.085,1-2-6,4,0.068,59
ABADBB,1-2-3,48,0.122,1-3-2,45,0.114,1-3-5,30,0.076,394
ABADBC,1-2-3,46,0.146,1-3-2,37,0.117,1-3-5,19,0.06,315
ABADBD,1-2-3,9,0.15,1-3-2,8,0.133,1-3-5,8,0.133,60
ABADCA,1-2-3,19,0.102,1-3-6,16,0.086,1-3-2,12,0.064,187
ABADCB,1-3-2,35,0.107,1-2-3,33,0.101,1-3-4,21,0.064,328
ABADCC,1-3-2,9,0.184,1-2-3,5,0.102,1-3-4,4,0.082,49
ABADCD,2-4-3,1,0.333,1-3-2,1,0.333,1-2-3,1,0.333,3
ABADCS,6-1-2,3,0.188,1-3-5,2,0.125,1-3-6,2,0.125,16
ABADDA,1-2-3,22,0.125,1-3-6,18,0.102,1-3-2,17,0.097,176
ABADDB,1-3-2,13,0.228,1-3-6,5,0.088,1-2-3,5,0.088,57
ABADDC,3-1-5,1,0.5,1-2-3,1,0.5,---,0,0.0,2
ABADDS,1-3-6,11,0.151,1-2-3,9,0.123,1-6-2,5,0.068,73
ABADSC,1-5-3,4,0.19,5-3-6,2,0.095,5-2-3,2,0.095,21
ABADSD,1-5-3,8,0.118,1-3-5,7,0.103,3-1-5,6,0.088,68
ABASCD,1-4-3,8,0.258,1-2-3,2,0.065,3-1-4,2,0.065,31
ABASDB,4-1-2,1,1.0,---,0,0.0,---,0,0.0,1
ABASDC,1-3-2,3,0.176,3-5-1,1,0.059,3-4-2,1,0.059,17
ABASDD,1-4-2,14,0.143,1-4-3,11,0.112,1-2-4,9,0.092,98
ABBAAD,1-4-5,8,0.08,1-2-3,7,0.07,1-2-5,7,0.07,100
ABBABB,4-5-1,1,0.5,2-1-3,1,0.5,---,0,0.0,2
ABBABC,1-4-2,19,0.085,1-2-3,18,0.08,1-3-4,18,0.08,224
ABBABD,1-2-3,90,0.089,1-2-4,87,0.086,1-4-2,81,0.08,1010
ABBACB,1-2-4,20,0.091,1-4-2,20,0.091,1-3-4,17,0.078,219
ABBACC,1-2-4,97,0.098,1-4-2,89,0.09,1-2-3,80,0.081,990
ABBACD,1-2-4,70,0.097,1-4-2,65,0.091,1-2-3,60,0.084,718
ABBADA,1-4-3,8,0.123,1-6-4,7,0.108,1-2-6,6,0.092,65
ABBADB,1-2-4,54,0.09,1-4-3,44,0.073,1-2-3,44,0.073,601
ABBADC,1-2-4,51,0.118,1-3-4,39,0.09,1-2-3,38,0.088,431
ABBADD,1-2-3,14,0.112,1-4-2,12,0.096,1-3-4,11,0.088,125
ABBBAB,1-3-4,2,0.333,1-6-3,1,0.167,1-5-2,1,0.167,6
ABBBAC,1-2-4,12,0.064,1-3-4,11,0.059,1-3-2,10,0.053,187
ABBBAD,1-2-3,67,0.097,1-2-4,44,0.064,1-3-4,38,0.055,688
ABBBBA,3-6-5,1,1.0,---,0,0.0,---,0,0.0,1
ABBBBB,1-2-3,102,0.091,1-2-4,74,0.066,1-3-4,65,0.058,1118
ABBBBC,1-2-3,309,0.107,1-2-4,223,0.077,1-3-2,190,0.065,2901
ABBBBD,1-2-3,185,0.12,1-2-4,133,0.086,1-3-2,121,0.078,1542
ABBBCA,1-2-3,19,0.122,1-4-2,10,0.064,1-3-2,9,0.058,156
ABBBCB,1-2-3,252,0.103,1-2-4,182,0.074,1-3-2,164,0.067,2446
ABBBCC,1-2-3,209,0.113,1-2-4,158,0.085,1-3-4,151,0.082,1851
ABBBCD,1-2-3,27,0.127,1-2-4,23,0.108,1-3-4,17,0.08,213
ABBBCS,1-6-2,1,1.0,---,0,0.0,---,0,0.0,1
ABBBDA,1-2-3,44,0.086,1-3-6,44,0.086,1-3-4,38,0.074,512
